지역별,시점,건축착공면적[㎡],건축허가면적증감률[%],고용률(시도)[%],실업률(시도),소비자물가지수[2015=100],아파트매매가격지수,아파트전세가격지수[2017.11 = 100.0],주민등록인구[명],주택매매가격지수,주택전세가격지수[2017.11 = 100.0],지가변동률[%],부동산 시장 소비심리지수,토지거래필지수,기준금리,국고채,회사채,가계대출,주택담보대출,아파트매매거래량,PIR,LIR,Class,"강력범죄율(강력범죄수/인구수 *100, 단위 %)",연구시설,사회복지시설,공공직업훈련시설,청소년수련시설,학교,공공청사,문화시설,체육시설,사회복지시설,광장,공원,녹지,유원지,공공공지,교통문화지수,종합의료시설,"인구십만명당 문화기반시설수(A÷B×100,000) (개)",중대형 상가,소규모 상가,집합 상가,Class
서울특별시,2015,999035.75,34.23333333,59.975,4.191666667,99.99916667,90.32728524,90.62763472,10072126.92,92.92138767,93.12279797,0.221333333,133.3583333,29740.16667,1.645833333,1.798,2.087416667,226877.2917,143684.9,10951.08333,6.718333333,2.821666667,1,0.103979363,21,284,0,15,1285,496,57,44,284,264,2122,1028,3,820,83.12,21,3.6,159,276,4933,1
서울특별시,2016,756994.3333,-6.433333333,59.96666667,4.2,101.1791667,94.41734037,96.63644155,9981396.583,95.81706412,97.31173167,0.2445,122.15,30537.25,1.354166667,1.440583333,1.885166667,250213.4667,159185.4583,10217.16667,7.175,3.099166667,1,0.092129229,22,290,0,17,1282,499,96,44,290,273,2127,1039,3,838,86.19,21,3.7,159,276,4933,1
서울특별시,2017,938859.5833,76.78333333,60.21666667,4.525,103.2,98.28732097,99.02018323,9904794.583,98.5984307,99.15061647,0.352833333,119.0833333,32255.25,1.291666667,1.80325,2.327,271003.025,172051.9833,8991.416667,7.929166667,3.486666667,1,0.108436016,22,295,0,20,1282,524,107,48,295,282,2132,1040,3,854,84.8,21,3.9,218,517,4740,1
서울특별시,2018,830993.6667,-31.48333333,59.625,4.758333333,104.5816667,106.0752414,100.132139,9810325.5,104.3766378,100.2878464,0.49575,114.575,30019.5,1.541666667,2.099916667,2.649583333,291647.8333,179796.525,8051.833333,7.856666667,3.506666667,1,0.102144021,22,303,0,20,1279,533,111,55,303,284,2147,1023,3,848,75.09,21,4.1,265,555,4740,1
서울특별시,2019,847562.25,22.4,60.00833333,4.383333333,105.1983333,107.8575655,98.47358643,9752325.667,106.455891,99.32890101,0.430166667,110.6416667,24769.08333,1.5625,1.53175,2.02475,311011.1417,188200.7333,5977.833333,7.795833333,3.6125,1,0.102157372,22,313,0,20,1278,549,115,56,313,280,2170,1017,3,847,76.5,21,4.2,378,626,4740,1
서울특별시,2020,1023472.583,18.3,59.31666667,4.558333333,105.8525,111.7752934,101.8717324,9711379.833,109.5997618,101.5157522,0.391833333,123.9333333,31012.66667,0.666666667,0.98975,2.127583333,341675.95,204134.3833,7815.333333,7.953333333,3.990833333,1,0.091162351,22,313,0,19,1268,555,120,60,313,276,2153,992,2,844,78.28,20,4.4,497,719,4740,1
경기도,2015,4370643.75,72.75,61.675,3.933333333,100.0008333,94.71778898,92.27226719,12440980.17,95.73062989,94.0787144,0.143416667,128.3416667,58361.33333,1.645833333,1.798,2.087416667,189647.7583,120411.15,18500.5,5.644166667,2.498333333,2,0.06193599,52,346,5,38,2825,1102,127,299,346,1209,5802,6050,21,1672,81.27,48,3.9,159,142,3677,2
경기도,2016,4290224.667,-1.408333333,61.65,3.908333333,100.9408333,97.63242267,97.65187186,12623666.08,97.90802955,98.09665501,0.184083333,119.4666667,62644.75,1.354166667,1.440583333,1.885166667,208383.2917,133537.2583,15860.33333,5.895,2.706666667,2,0.060306147,53,354,3,42,2858,1123,209,322,354,1202,6072,6093,19,1770,84.4,48,4,159,142,3677,2
경기도,2017,3626390.333,-10.61666667,62.13333333,3.866666667,102.9683333,99.09696093,99.48454018,12796095.67,99.13983845,99.50493555,0.283,112.175,74593.66667,1.291666667,1.80325,2.327,228279.4417,146360.45,13766.66667,6.461666667,3.125,2,0.060890663,52,361,3,42,2865,1109,218,327,361,1211,6108,6380,19,1879,83.81,50,4.1,218,180,4243,2
경기도,2018,3320257.417,0.641666667,61.96666667,3.808333333,104.4983333,100.7999896,97.31756888,12984673.58,100.9213079,98.19013251,0.361333333,103.1916667,79323.41667,1.541666667,2.099916667,2.649583333,245341.05,156683.8667,13961.33333,6.471666667,3.138333333,2,0.060448937,56,386,3,45,2976,1172,228,380,386,1285,6136,6836,19,2027,76.43,47,4.1,265,221,4243,2
